strain name,day2 _cell,day2_rect,day2_conc,day3 _cell,day3_rect,day3_conc,
tlc1-1,76,676,20,12,676,20,0
tlc1-2,43,676,20,12,676,20,0
tlc1-3,35,676,20,4,676,20,5
tlc1-4,5,676,20,126,676,20,33
tlc1-6,116,208,20,39,676,20,7
tlc1-7,93,208,20,27,676,20,56
tlc1-8,19,676,20,7,676,20,0
tlc1-9,14,676,20,3,676,20,3
mlh1-1,91,676,20,7,676,20,32
mlh1-2,7,676,20,3,676,20,0
mlh1-4,70,676,20,7,676,20,12
mlh1-5,7,676,20,2,676,20,0
mlh1-6,39,676,20,6,676,20,2
mlh1-9,18,676,20,3,676,20,1
mlh1-10,9,676,20,0,676,20,0
tlc-10,102,676,20,14,676,20,0
tlc-11,93,104,20,13,676,20,8
tlc-12,222,676,20,20,676,20,7
tlc-15,148,208,20,12,676,20,29
tlc-16,180,676,20,26,676,20,11
mlh1-12,37,676,20,6,676,20,10
mlh1-14,14,676,20,5,676,20,0
mlh1-15,101,676,20,11,676,20,43
mlh1-17,130,676,20,2,676,20,9
tlc1-17,89,676,20,3,676,20,41
tlc1-19,145,676,20,100,676,20,15
tlc1-20,71,676,20,8,676,20,1
tlc1-21,164,676,20,106,676,20,16
tlc1-22,165,676,20,18,676,20,60
tlc1-24,87,676,20,12,676,20,0
tlc1-25,63,676,20,3,676,20,0
tlc1-26,201,676,20,3,676,20,0
mlh1-19,80,676,20,21,676,20,20
mlh1-21,4,676,20,,676,20,7
mlh1-24,11,676,20,19,676,20,0
mlh1-26,202,676,20,5,676,20,46
mlh1-27,45,676,20,3,676,20,18
mlh1-28,12,676,20,150,104,20,17
tlc1-27,83,208,20,18,676,20,33
tlc1-28,32,676,20,1,676,20,0
tlc1-29,78,676,20,3,676,20,4
tlc1-30,117,676,20,5,676,20,3
tlc1-31,80,208,20,6,676,20,9
tlc1-32,60,676,20,4,676,20,2
tlc1-33,110,676,20,13,676,20,1
tlc1-34,155,676,20,20,676,20,33
mlh1-30,109,676,20,8,676,20,2
mlh1-31,92,676,20,7,676,20,1
mlh1-33,19,676,20,2,676,20,1
mlh1-34,187,676,20,1,676,20,7
mlh1-35,41,676,20,14,676,20,3
tlc1-35,54,676,20,9,676,20,1
tlc1-36,196,676,20,5,676,20,21
tlc1-40,2,676,20,,,,0
tlc1-43,93,208,20,8,676,20,1
tlc1-44,120,364,20,15,676,20,1
tlc1-46,149,676,20,34,676,20,1
tlc1-47,125,208,20,37,676,20,6
tlc1-48,14,676,20,12,676,20,2
tlc1-49,110,676,20,19,676,20,2
tlc1-50,2,676,20,,,,3
mlh1-37,44,676,20,3,676,20,0
mlh1-39,155,676,20,32,676,20,3+
mlh1-41,18,676,20,126,676,20,18
mlh1-42,33,676,20,7,676,20,0
mlh1-43,37,676,20,4,676,20,1
mlh1-45,23,676,20,16,676,20,10
mlh1-47,25,676,20,4,676,20,0
mlh1-48,55,676,20,75,676,20,15+mold
mlh1-49,38,676,20,10,676,20,11
mlh1-51,108,364,20,38,676,20,5
mlh1-52,25,676,20,1,676,20,0
tlc1-51,9,676,20,83,676,20,1
tlc1-52,12,676,20,153,676,20,31
tlc1-55,11,676,20,42,676,20,10
tlc1-56,14,676,20,5,676,20,0
tlc1-60,35,676,20,10,676,20,1
tlc1-61,151,676,20,32,676,20,2
mlh1-53,1,676,20,0,676,20,0
mlh1-55,29,676,20,2,13520,0.000147929,0
mlh1-57,131,676,20,3,13520,0.000221893,0
mlh1-59,115,676,20,7,13520,0.000517751,19
mlh1-60,84,676,20,10,13520,0.000739645,0
mlh1-61,75,676,20,8,13520,0.000591716,0
mlh1-62,45,676,20,3,13520,0.000221893,0
